OrderID,OrderDate,Product,Category,Quantity,Price,Cost
1001,2024-01-05,Mobile,Electronics,2,15000,12000
1002,2024-01-10,Laptop,Electronics,1,55000,50000
1003,2024-01-15,Shoes,Fashion,3,3000,2500
1004,2024-02-03,Watch,Accessories,2,4000,4500
1005,2024-02-08,Mobile,Electronics,1,16000,14000
1006,2024-02-20,Headphones,Electronics,4,2000,1500
1007,2024-03-02,Tshirt,Fashion,5,1200,800
1008,2024-03-10,Laptop,Electronics,1,54000,52000
1009,2024-03-18,Shoes,Fashion,2,3200,3000
1010,2024-03-25,Watch,Accessories,1,4500,4000
